OB,Name,Date of Birth,Birth Name,OP,Birthplace,State of Birth,AP,
1,George Washington,"February 22, 1732",,1,Pope's Creek,Virginia,57,
2,John Adams,"October 30, 1735","John Adams, Jr.",2,Braintree,Massachusetts,61,
3,Thomas Jefferson,"April 13, 1743",,3,Goochland County,Virginia,57,
4,James Madison,"March 16, 1751","James Madison, Jr.",4,Port Conway,Virginia,57,
5,James Monroe,"April 28, 1758",,5,Monroe Hall,Virginia,58,
7,John Quincy Adams,"July 11, 1767",,6,Braintree,Massachusetts,57,
6,Andrew Jackson,"March 15, 1767",,7,Waxhaws Region,South/North Carolina,61,
9,Martin Van Buren,"December 5, 1782",,8,Kinderhook,New York,54,
8,William Henry Harrison,"February 9, 1773",,9,Charles City County,Virginia,68,
11,John Tyler,"March 29, 1790","John Tyler, Jr.",10,Charles City County,Virginia,51,
13,James K. Polk,"November 2, 1795",James Knox Polk,11,Pineville,North Carolina,49,
10,Zachary Taylor,"November 24, 1784",,12,Barboursville,Virginia,64,
14,Millard Fillmore,"January 7, 1800",,13,Moravia,New York,50,
15,Franklin Pierce,"November 23, 1804",,14,Hillsborough,New Hampshire,48,
12,James Buchanan,"April 23, 1791","James Buchanan, Jr.",15,Cove Gap,Pennsylvania,65,
17,Abraham Lincoln,"February 12, 1809",,16,Hardin County,Kentucky,52,
16,Andrew Johnson,"December 29, 1808",,17,Raleigh,North Carolina,56,
18,Ulysses S. Grant,"April 27, 1822",Hiram Ulysses Grant,18,Point Pleasant,Ohio,46,
19,Rutherford B. Hayes,"October 4, 1822",Rutherford Birchard Hayes,19,Delaware,Ohio,54,
21,James A. Garfield,"November 19, 1831",James Abram Garfield,20,Moreland Hills,Ohio,49,
20,Chester A. Arthur,"October 5, 1829",Chester Alan Arthur,21,Fairfield,Vermont,51,
23,Grover Cleveland,"March 18, 1837",Stephen Grover Cleveland,22,Caldwell,New Jersey,47,
22,Benjamin Harrison,"August 20, 1833",,23,North Bend,Ohio,55,
23,Grover Cleveland,"March 18, 1837",Stephen Grover Cleveland,24,Caldwell,New Jersey,55,
24,William McKinley,"January 29, 1843","William McKinley, Jr.",25,Niles,Ohio,54,
27,Theodore Roosevelt,"October 27, 1858","Theodore Roosevelt, Jr.",26,New York City,New York,42,
26,William Howard Taft,"September 15, 1857",,27,Cincinnati,Ohio,51,
25,Woodrow Wilson,"December 28, 1856",Thomas Woodrow Wilson,28,Staunton,Virginia,56,
28,Warren G. Harding,"November 2, 1865",Warren Gamaliel Harding,29,Blooming Grove,Ohio,55,
29,Calvin Coolidge,"July 4, 1872","John Calvin Coolidge, Jr.",30,Plymouth,Vermont,51,
30,Herbert Hoover,"August 10, 1874",Herbert Clark Hoover,31,West Branch,Iowa,54,
31,Franklin D. Roosevelt,"January 30, 1882",Franklin Delano Roosevelt,32,Hyde Park,New York,51,
32,Harry S. Truman,"May 8, 1884",,33,Lamar,Missouri,60,
33,Dwight D. Eisenhower,"October 14, 1890",David Dwight Eisenhower[1],34,Denison,Texas,62,
38,John F. Kennedy,"May 29, 1917",John Fitzgerald Kennedy,35,Brookline,Massachusetts,43,
34,Lyndon B. Johnson,"August 27, 1908",Lyndon Baines Johnson,36,Stonewall,Texas,55,
36,Richard M. Nixon,"January 9, 1913",Richard Milhous Nixon,37,Yorba Linda,California,56,
37,Gerald R. Ford,"July 14, 1913","Leslie Lynch King, Jr.",38,Omaha,Nebraska,61,
40,Jimmy Carter,"October 1, 1924","James Earl Carter, Jr.",39,Plains,Georgia,52,
35,Ronald Reagan,"February 6, 1911",Ronald Wilson Reagan,40,Tampico,Illinois,69,
39,George H. W. Bush,"June 12, 1924",George Herbert Walker Bush,41,Milton,Massachusetts,64,
42,Bill Clinton,"August 19, 1946",William Jefferson Blythe III,42,Hope,Arkansas,46,
41,George W. Bush,"July 6, 1946",George Walker Bush,43,New Haven,Connecticut,54,
43,Barack Obama,"August 4, 1961",Barack Hussein Obama II,44,Honolulu,Hawaii,47,
